"","...1","subject_id","Group","Alpha_DTC","Alpha_O","Alpha_S","Alpha_TC","Beta_DTC","Beta_O","Beta_S","Beta_TC","Delta_DTC","Delta_O","Delta_S","Delta_TC","Gamma_DTC","Gamma_O","Gamma_S","Gamma_TC","Theta_DTC","Theta_O","Theta_S","Theta_TC","Wholeband_DTC","Wholeband_O","Wholeband_S","Wholeband_TC"
"16",15,"RS_043_deltas","1",0.1160712775,0.0560216064166667,0.300963120791667,-0.108060833875,0.0878462750416667,0.0933959585416667,-0.0488631605,0.00273022525000001,0.08993798225,0.1060903425,0.248610553916667,0.158672571583333,-0.0373971657083333,0.0962916147916667,-0.325298888541667,-0.183162435833333,0.0750666090833333,0.074922099875,0.226173787,-0.161257754791667,0.0893456225833334,0.0146396297083333,0.260841910708333,-0.111158161833333
"17",16,"RS_044_deltas","1",0.309539613,0.014458113,0.631265675,0.113912018,-0.1508878,0.077993691,-0.863203213,-0.413770463,-0.586400224,0.780557503,-1.150974426,-0.564574202,-0.230470415,0.482148296,-2.069567778,-1.151598581,0.264494849,-0.206193485,0.577034308,-0.067902008,-0.339226661,0.520012029,-0.639454134,0.078652929
"18",17,"RS_046_deltas","1",0.1160712775,0.0560216064166667,0.300963120791667,-0.108060833875,0.0878462750416667,0.0933959585416667,-0.0488631605,0.00273022525000001,0.08993798225,0.1060903425,0.248610553916667,0.158672571583333,-0.0373971657083333,0.0962916147916667,-0.325298888541667,-0.183162435833333,0.0750666090833333,0.074922099875,0.226173787,-0.161257754791667,0.0893456225833334,0.0146396297083333,0.260841910708333,-0.111158161833333
"19",18,"RS_004_deltas","0",-0.077313031,-0.05072631,-0.178364754,0.397604816,-0.08591851,0.336703403,0.370815217,0.259299576,-0.099581995,0.326898449,-0.221178611,-0.121596616,-0.063962594,0.038221878,-1.624330994,-1.004063835,-0.083924358,0.282915198,-0.190106865,0.199965225,-0.143570463,0.015437038,-0.364914613,0.255117708
"20",19,"RS_010_deltas","0",-0.090747277,-0.050717763,-0.106484453,0.07905385,-0.070391883,-0.214872594,-0.859187314,-0.375728038,0.0268688,-0.342958522,0.03383696,0.006968159,-0.088832019,-0.419072709,-0.77626807,-0.620257851,-0.227676074,-0.237259907,-0.3878013,-0.056187256,-0.002016024,-0.158869137,0.006466767,-0.014522465
"21",20,"RS_016_deltas","0",0.1160712775,0.0560216064166667,0.300963120791667,-0.108060833875,0.0878462750416667,0.0933959585416667,-0.0488631605,0.00273022525000001,0.08993798225,0.1060903425,0.248610553916667,0.158672571583333,-0.0373971657083333,0.0962916147916667,-0.325298888541667,-0.183162435833333,0.0750666090833333,0.074922099875,0.226173787,-0.161257754791667,0.0893456225833334,0.0146396297083333,0.260841910708333,-0.111158161833333
"22",21,"RS_017_deltas","0",0.1160712775,0.0560216064166667,0.300963120791667,-0.108060833875,0.0878462750416667,0.0933959585416667,-0.0488631605,0.00273022525000001,0.08993798225,0.1060903425,0.248610553916667,0.158672571583333,-0.0373971657083333,0.0962916147916667,-0.325298888541667,-0.183162435833333,0.0750666090833333,0.074922099875,0.226173787,-0.161257754791667,0.0893456225833334,0.0146396297083333,0.260841910708333,-0.111158161833333
"23",22,"RS_019_deltas","0",-0.243943637,0.281083491,0.063081656,-1.317625526,0.049916169,0.026800133,-0.772955936,-0.366351872,-0.1747949,0.131991517,-0.209861356,-0.035066456,-0.631534369,0.303151451,-1.707407248,-0.67687075,-0.013888737,-0.789887442,0.430098505,-1.36561218,0.046902696,0.099649848,0.299424294,-1.450659728
"24",23,"RS_024_deltas","0",-0.170320824,-0.160914044,-0.098151188,0.02186419,-0.219114862,-0.505896861,-0.608860621,-0.33969313,-0.167788087,0.255998103,-0.245577005,-0.077788917,-0.065582377,-0.498879161,-0.464401622,-0.472425481,-0.589161454,-0.254047227,-1.018747992,-0.350119568,-0.201966121,0.167946685,-0.204529567,0.015701878
"25",24,"RS_025_deltas","0",0.469545455,-0.130391842,0.859830106,-0.415969087,-0.154976576,-0.488051002,-1.090370093,-0.671274539,-0.186334618,-0.861977488,-0.364594056,-0.178259438,-0.938317312,-0.80323173,-1.503328993,-1.005985978,0.203792414,0.113497381,0.348832932,-0.507652222,-0.14131065,-0.919894105,-0.250924723,-0.694498199
"26",25,"RS_028_deltas","0",-0.137597171,0.098567391,-0.164334663,-0.663018473,-0.696613985,-0.918451657,-0.78120397,-0.456383631,-0.349783803,-0.552388321,-0.564677299,-0.214893497,-0.186802209,-0.407060353,-1.877052052,-1.274582413,-0.119134762,-1.123971383,-0.120991074,-0.789825707,-0.613215399,-0.619850908,-0.982629337,-0.710586989
"27",26,"RS_029_deltas","0",-0.61343965,-0.333011472,-1.224538041,-1.067665716,-0.233542786,-0.549181169,-1.77324445,-0.870755042,-0.361746315,-1.334347385,-0.900577916,-0.538831601,-0.261713023,-0.531196163,-0.575795934,-0.297470994,-0.442065053,-0.28057985,-0.951264809,-0.896518843,-0.287755409,-1.220227033,-0.769372554,-0.769003495
"28",27,"RS_036_deltas","0",0.1160712775,0.0560216064166667,0.300963120791667,-0.108060833875,0.0878462750416667,0.0933959585416667,-0.0488631605,0.00273022525000001,0.08993798225,0.1060903425,0.248610553916667,0.158672571583333,-0.0373971657083333,0.0962916147916667,-0.325298888541667,-0.183162435833333,0.0750666090833333,0.074922099875,0.226173787,-0.161257754791667,0.0893456225833334,0.0146396297083333,0.260841910708333,-0.111158161833333
"29",28,"RS_041_deltas","0",-0.554924882,-0.107371741,-1.07760153,-0.5850569,-0.063219248,0.185941061,-0.267355278,-0.066858082,0.24385635,0.149360928,0.595497484,0.351641134,0.055985368,0.147577653,0.583369817,0.427404506,0.10492796,-0.029360999,0.404125199,-0.056246719,-0.119725728,-0.066538085,-0.278356662,-0.059117317
"30",29,"RS_042_deltas","0",-0.101541501,-0.327099051,-0.185394455,-0.211399694,0.132372819,-0.166676749,-0.34784087,-0.182393736,0.17854907,-0.04922799,0.369364445,0.190815374,-0.219710139,0.045774886,-1.548142347,-0.742730129,-0.294793551,0.093270452,-0.519871288,-0.17906839,0.149154617,-0.627057393,0.463587835,-0.165296201
